"Branch","Executive Name","Visted Date","Customer Group","Potential Qnty","Mode Of Contact","Item Group","Notes/Remarks","Creation Date","Date of Update"
"Chennai","CHANDRASEKARAN.A","2014-03-03 00:00:00","FLAMAGAS INDIA PVT LTD.","0","Visit","CYCLOHEXANONE","Meet Mr.Prakash regarding order followup customer will give next week","2014-03-14",""
"Chennai","CHANDRASEKARAN.A","2014-03-03 00:00:00","STANDARD COLOUR CO (P) LTD","0","Visit","CYCLOHEXANONE","Meet Mrs.Anadhi Regading order followup rate was high so customer getting material from mumbai","2014-03-14",""
"Chennai","CHANDRASEKARAN.A","2014-03-03 00:00:00","SPRINGFEEL POLYURETHANE FOAMS PVT.LTD.,","0","Visit","TOLUENE DI ISOCYNATE (TDI)","Meet Mr.Krishnan Regarding for order & Payment folloup payment will get on wednesday","2014-03-14",""
"Chennai","CHANDRASEKARAN.A","2014-03-04 00:00:00","ADDUCO ENGINEERING SOLUTIONS PVT LTD","0","Visit","EXXSOL D40","Meet Mr.Loaganathan regarding payment followup customer will call us","2014-03-14",""
"Chennai","CHANDRASEKARAN.A","2014-03-04 00:00:00","NAAG ELECTRO PLATES","0","Visit","","Meet mr.ramachandran  customer manifacture electronic compounts(COPPER SULPHATE & CHROMIC ACID )","2014-03-14",""
"Chennai","CHANDRASEKARAN.A","2014-03-04 00:00:00","EXCEL GLASS FIBRE INDUSTRIES (P) LTD","0","Visit","TOLUENE","Meet Mr.Sriram regarding payment followup","2014-03-14",""
"Chennai","CHANDRASEKARAN.A","2014-03-04 00:00:00","ATLAS INSULATIONS","0","Visit","TOLUENE","Meet Mr.Jayaprakash manifacture Varnish & thinner customer want price send offer(MTO-5 TONE,TOLUENE-500kg,XYLENE-500kg,N.BUTNOL-500kg)","2014-03-14",""
"Chennai","CHANDRASEKARAN.A","2014-03-04 00:00:00","AMIRTHAM ELECTRO PROCESS","0","Visit","","Meet Mr.Jegan customer manifacture colouring boult & nuts (CHROMIC ACID 1TONE, ZINK SALT 500KG,ZINK METAL 5KG)","2014-03-14",""
"Chennai","CHANDRASEKARAN.A","2014-03-04 00:00:00","SCORPION INDUSTRIAL POLYMER PRIVATE LTD","0","Visit","","Meet mrs Jayanthi rubber moulding but contact person not avilable Mr.Venkat","2014-03-14",""
"Chennai","CHANDRASEKARAN.A","2014-03-04 00:00:00","NUTECH AUTO PRODUCTS","0","Visit","MIX XYLENE","Meet Mrs.Kalaiselvi order followup & collected payment also","2014-03-14",""
"Chennai","CHANDRASEKARAN.A","2014-03-05 00:00:00","NAVACON PLASTO METAL PRODUCT","0","Visit","","Meet Mr.Sukumar customer manifacture Plastic fiber from RAW material customer dont use our chemicals","2014-03-14",""
"Chennai","CHANDRASEKARAN.A","2014-03-05 00:00:00","SRI KUMARAN AUTO COMPONTS","0","Visit","","Meet Mr.Logeshwaran customer manifactur Auto componts (NITRIC ACID-5TONE& SOULFURIC ACID 2TONE)","2014-03-14",""
"Chennai","CHANDRASEKARAN.A","2014-03-05 00:00:00","UFLEX LTD","0","Visit","","Meet Mr.Rakesh corporate office in NEW DELHI","2014-03-14",""
"Chennai","CHANDRASEKARAN.A","2014-03-05 00:00:00","STANDARD COLOUR CO (P) LTD","0","Visit","CYCLOHEXANONE","Meet Mrs Anadhi regarding order followup rate was high customer getting ED+VAT=165 from mumbai, but our price 160++","2014-03-14",""
"Chennai","CHANDRASEKARAN.A","2014-03-05 00:00:00","SPRINGFEEL POLYURETHANE FOAMS PVT.LTD.,","0","Visit","TOLUENE DI ISOCYNATE (TDI)","Meet Mr.Krishnan Regarding order & payment followup collected payment","2014-03-14",""
"Chennai","CHANDRASEKARAN.A","2014-03-05 00:00:00","THIN CHEMIE FORMULATIONS.,","0","Visit","MIX XYLENE","Meet Mr.Krishnan Regarding order folloup customer will give next week","2014-03-14",""
"Chennai","CHANDRASEKARAN.A","2014-03-06 00:00:00","ASWANTHI ENTERPRISES","0","Visit","","Meet Mr.Muthuraman customer manifacture","2014-03-15",""
"Chennai","CHANDRASEKARAN.A","2014-03-06 00:00:00","UNIVERSAL PRINT SYSTEMS LTD","0","Visit","ISO PROPYL ALCOHOL","Meet Mr.Raviram regarding convert the customer. he want to discuss rate with his manager","2014-03-15",""
"Chennai","CHANDRASEKARAN.A","2014-03-06 00:00:00","MADRAS DIAMOND TOOLS,","0","Visit","ACETONE","Meer Mr.Balakrishnan regarding payment followup customer will give next week","2014-03-15",""
"Chennai","CHANDRASEKARAN.A","2014-03-06 00:00:00","ORIANT RUBBER PRODUCT","0","Visit","TOLUENE","Went for new customer but unable to meet contact person","2014-03-15",""
"Chennai","CHANDRASEKARAN.A","2014-03-06 00:00:00","XL COLOUR COATINGS","0","Visit","","Meet Mr.Jayapal customer not interest to speak with us","2014-03-15",""
"Chennai","CHANDRASEKARAN.A","2014-03-07 00:00:00","S.R COATINGS","0","Visit","","Meer Mr.Seethalakshmi manifacture metal polythin coatings they don't use our chemicals","2014-03-15",""
"Chennai","CHANDRASEKARAN.A","2014-03-07 00:00:00","NOVOLAC PAINT PRIVATE LTD","0","Visit","","Meet Mrs Suriya they manifacture Paints & Coatings but unble to meet contact person need fix appointment","2014-03-15",""
"Chennai","CHANDRASEKARAN.A","2014-03-07 00:00:00","JENTER ALKALIS","0","Visit","SODA ASH","Meet Mr.Senthil Velavan customer manifacture house hold items(SODA ASH-1 TONE,CASTIC SODA-1 TONE & CTRIC ACID-1 TONE)","2014-03-15",""
"Chennai","CHANDRASEKARAN.A","2014-03-07 00:00:00","UTLITY FOAMS PVT LTD","0","Visit","","meet mr.Ramu customer trading stanary items they don't use chemicals","2014-03-15",""
"Chennai","CHANDRASEKARAN.A","2014-03-07 00:00:00","UCP CHEMICALS INDIA LTD","0","Visit","TOLUENE","Meet Mr.RajaRaman Resin & Casico oil Manifacture(TOLUENE-2BRL,EA-2BRL,IPA-1BRL,HEXANE-2BRL & H2O2-2TONE) currently factry was shotdown after 2monts only will start","2014-03-15",""
"Chennai","CHANDRASEKARAN.A","2014-03-07 00:00:00","CHEMICAL & METALIURGICAL SERVICE","0","Visit","","Meet Mr.sanjay but need meet contact person so fix appointment","2014-03-15",""
"Chennai","CHANDRASEKARAN.A","2014-03-10 00:00:00","AMRUTANJAN GROUP","0","Visit","MIX XYLENE","Visit with BM & Mr.Sarath Meet Mr.Prakashiyr regarding order followup","2014-03-15",""
"Chennai","CHANDRASEKARAN.A","2014-03-10 00:00:00","THIRU AROORAN SUGARS LTD","0","Visit","PHOSPHORIC ACID","Meet Mr.Prabhakar regarding payment followup customer will call us","2014-03-15",""
"Chennai","CHANDRASEKARAN.A","2014-03-10 00:00:00","S.V.CHEM INTER MEDIATES (P) LTD","0","Visit","EXXSOL HEXANE","Visit with BM & Mr.Sarath Meet Mrs.Saradha regarding order followup & collected EUC also","2014-03-15",""
"Chennai","CHANDRASEKARAN.A","2014-03-10 00:00:00","NURAY CHEMICALS PVT LTD","0","Visit","ACETIC ACID","Visit with BM & Mr.Sarath Meet Mr.Kannan regarding order followup","2014-03-15",""
"Chennai","CHANDRASEKARAN.A","2014-03-10 00:00:00","SPRINGFEEL POLYURETHANE FOAMS PVT.LTD.,","0","Visit","TOLUENE DI ISOCYNATE (TDI)","Went for payment followup & order followup","2014-03-15",""
"Chennai","CHANDRASEKARAN.A","2014-03-11 00:00:00","PRASAD ORGANICS (P) LTD","0","Visit","PHOSPHORIC ACID","Meet Mrs Anuratha regarding order followup customer said customer want discuss with his manager time taken","2014-03-15",""
"Chennai","CHANDRASEKARAN.A","2014-03-11 00:00:00","THIN CHEMIE FORMULATIONS.,","0","Visit","MIX XYLENE","Meet Mr.Narasimman regarding order followup collected order MX-2 brl & Toluene-1 brl","2014-03-15",""
"Chennai","CHANDRASEKARAN.A","2014-03-11 00:00:00","FLAMAGAS INDIA PVT LTD.","0","Visit","CYCLOHEXANONE","Meet Mr.Prakash regadring order followup customer will give next week","2014-03-15",""
"Chennai","CHANDRASEKARAN.A","2014-03-11 00:00:00","SPRINGFEEL POLYURETHANE FOAMS PVT.LTD.,","0","Visit","MELAMINE","Meet Mr.Krishnan Regarding order & account statement followup customer was busy account statement will send by courier","2014-03-15",""
"Chennai","CHANDRASEKARAN.A","2014-03-11 00:00:00","SOFTGEL HEALTH CARE PRIVATE LTD","0","Visit","ISOPAR L","Went for new customer unbleto meet Mr. Premkumar & unble to speak by phone also","2014-03-15",""
"Chennai","CHANDRASEKARAN.A","2014-03-11 00:00:00","STANDARD COLOUR CO (P) LTD","0","Visit","CYCLOHEXANONE","Meet Mr.Anadhi regarding order followup we gave price 156++ customer want discuss rate & will give 3rd week last order will get","2014-03-15",""
"Chennai","CHANDRASEKARAN.A","2014-03-12 00:00:00","THIRU AROORAN SUGARS LTD","0","Visit","PHOSPHORIC ACID","Meet Mr,Prabhakar for payment followup customer will give next week only","2014-03-15",""
"Chennai","CHANDRASEKARAN.A","2014-03-12 00:00:00","RELIABLE  POLY PACK INDIA PRIVATE LTD","0","Visit","","Went New customer unble to meet contact person","2014-03-15",""
"Chennai","CHANDRASEKARAN.A","2014-03-12 00:00:00","D.J.INDUSTRIES","0","Visit","MONO PROPYLENE GLYCOL","Meet Mr.Jagathish Esstiantial manifacture customer will give next week","2014-03-15",""
"Chennai","CHANDRASEKARAN.A","2014-03-12 00:00:00","SUGANJ ECO CHEMICALS PRIVATE LIMITED","0","Visit","ACETIC ACID","Meet Mrs Revathi they manifacture house hold item(ACETIC ACID,IPA)","2014-03-15",""
"Chennai","CHANDRASEKARAN.A","2014-03-13 00:00:00","EXCEL GLASS FIBRE INDUSTRIES (P) LTD","0","Visit","TOLUENE","Meet Mr.Sriram regarding apyment followup customer dont have found customer will give on monday","2014-03-15",""
"Chennai","CHANDRASEKARAN.A","2014-03-13 00:00:00","GERMAN POLYMERS AND COATINGS PVT. LTD.,","0","Visit","BUTYL CELLOSOLVE","Meet Mr.Ravi regarding order followup customer said next week end customer will give order","2014-03-15",""
"Chennai","CHANDRASEKARAN.A","2014-03-13 00:00:00","R.J.AROMAX","0","Visit","","Meet Mr.chandramohan customer use Diethyl phthalate(DEP) only","2014-03-15",""
"Chennai","CHANDRASEKARAN.A","2014-03-13 00:00:00","ROTO PRINTING INK (MADRAS) PVT.LTD","0","Visit","TOLUENE","Meet Mrs Jancy regarding for invoice","2014-03-15",""
"Chennai","CHANDRASEKARAN.A","2014-03-13 00:00:00","SUDHARSAN INDUSTRIES","0","Visit","","Meet Mr.Raja they manicature Varnish & thinner contact person not avilable","2014-03-15",""
"Chennai","CHANDRASEKARAN.A","2014-03-14 00:00:00","MADRAS DIAMOND TOOLS,","0","Visit","ACETONE","Meet Mr.Balakrishnan Regarding order payment followup cust will call us","2014-03-15",""
"Chennai","CHANDRASEKARAN.A","2014-03-14 00:00:00","SRI VENKATESHWARA PALSTIC INDUSTRIES","0","Visit","","Meet Mr.Rathakrishanan they don't use chemicals","2014-03-15",""
"Chennai","CHANDRASEKARAN.A","2014-03-14 00:00:00","ADDUCO ENGINEERING SOLUTIONS PVT LTD","0","Visit","EXXSOL D40","Went for payment followup unble to meet mr.Loganathan i spoke by phone only customer will give next week only","2014-03-15",""
"Chennai","CHANDRASEKARAN.A","2014-03-14 00:00:00","APPOLO SEALS & CO","0","Visit","","Went new customert but unble to meet Mr.Musthafa heve fix appoinment","2014-03-15",""
"Chennai","CHANDRASEKARAN.A","2014-03-14 00:00:00","HAT RUBBER","0","Visit","TOLUENE","Meet mr.Gowtham they manifacture Rubber product we have to contact Mr.Nambi on monday eveing 4PM","2014-03-15",""
"Chennai","CHANDRASEKARAN.A","2014-03-14 00:00:00","SARVODAYA POLYMERS","0","Visit","","Meet Mr.Jayaram they manifacture water canes they don't use our chemicals","2014-03-15",""
"Chennai","CHANDRASEKARAN.A","2014-03-17 00:00:00","THIRU AROORAN SUGARS LTD","0","Visit","PHOSPHORIC ACID","Meet Mr.Prabhakaran regarding payment followup customer said come on friday","2014-03-22",""
"Chennai","CHANDRASEKARAN.A","2014-03-17 00:00:00","STANDARD COLOUR CO (P) LTD","0","Visit","CYCLOHEXANONE","Meet Mrs Anadhi regading order followup they want discus with manager","2014-03-22",""
"Chennai","CHANDRASEKARAN.A","2014-03-17 00:00:00","HAT RUBBER PRODUCT","0","Visit","TOLUENE","Meet Mr.Nambi customer manifacture rubber product customer using TOLENE-1brl for 2months","2014-03-22",""
"Chennai","CHANDRASEKARAN.A","2014-03-17 00:00:00","ULTRA SEALS","0","Visit","","Meet Mr.Rajesh new customer but customer not manifacture","2014-03-22",""
"Chennai","CHANDRASEKARAN.A","2014-03-17 00:00:00","NUTECH RUBBER PRODUCT","0","Visit","","Meet Mrs.Priya contact person not available","2014-03-22",""
"Chennai","CHANDRASEKARAN.A","2014-03-17 00:00:00","AARATHY ENGINEERING PLASTICS","0","Visit","TOLUENE DI ISOCYNATE (TDI)","Meet Mrs.Anitha purchase department contact person not avilable","2014-03-22",""
"Chennai","CHANDRASEKARAN.A","2014-03-18 00:00:00","3F INDUSTRIES","0","Visit","PHOSPHORIC ACID","Meet Mr.Chandrasekar customer will give order next week (Phosporic acid Food-6tone)","2014-03-22",""
"Chennai","CHANDRASEKARAN.A","2014-03-18 00:00:00","SPRINGFEEL POLYURETHANE FOAMS PVT.LTD.,","0","Visit","TOLUENE DI ISOCYNATE (TDI)","Meet Mr.Krishanan regarding order & payment followup customer will give payment next week","2014-03-22",""
"Chennai","CHANDRASEKARAN.A","2014-03-18 00:00:00","THIN CHEMIE FORMULATIONS.,","0","Visit","MIX XYLENE","Went order followup Mr.Narasimman has leave come tommorrow","2014-03-22",""
"Chennai","CHANDRASEKARAN.A","2014-03-18 00:00:00","STANDARD COLOUR CO (P) LTD","0","Visit","CYCLOHEXANONE","Meet Mrs Anadhi regarding order followup unble to match rate","2014-03-22",""
"Chennai","CHANDRASEKARAN.A","2014-03-18 00:00:00","SENDHUR SURFACE COATINGS","0","Visit","BUTYL CELLOSOLVE","Meet Mr.Senthil regarding order followup customer will give next april 2nd week only","2014-03-22",""
"Chennai","CHANDRASEKARAN.A","2014-03-19 00:00:00","WOORY AUTOMOVITES INDIA PVT LTD","0","Visit","","went new customer Need to fix appoinment","2014-03-22",""
"Chennai","CHANDRASEKARAN.A","2014-03-19 00:00:00","CORBORANDUM UNIVERSAL LTD","0","Visit","PHENOL","Mr.Mohan was bus so unble to meet contact person","2014-03-22",""
"Chennai","CHANDRASEKARAN.A","2014-03-19 00:00:00","ARGUS COSMETICS PVT LTD","0","Visit","","Meet Mr.Manikandan they manifacture talcom powder they using CALCIUM CARBANATE-2tone & SOPE STONE POWDER-10tone if can supply for this material customer need offers","2014-03-22",""
"Chennai","CHANDRASEKARAN.A","2014-03-19 00:00:00","SREE PLASTIC","0","Visit","","went new customer Need to fix appoinment","2014-03-22",""
"Chennai","CHANDRASEKARAN.A","2014-03-19 00:00:00","VIRGO POLYMER","0","Visit","","went new customer Need to fix appoinment","2014-03-22",""
"Chennai","CHANDRASEKARAN.A","2014-03-19 00:00:00","UCAL FUEL SYSTEMS LTD","0","Visit","ISOPAR L","Meet.Gopal first visit induce with customer & customer need credit days","2014-03-22",""
"Chennai","CHANDRASEKARAN.A","2014-03-19 00:00:00","MIDAS ROBBER PRIVATE LTD","0","Visit","","went new customer Need to fix appoinment","2014-03-22",""
"Chennai","CHANDRASEKARAN.A","2014-03-20 00:00:00","S.V.CHEM INTER MEDIATES (P) LTD","0","Visit","EXXSOL HEXANE","Meet Mrs Saratha regarding debit note followp customer need discuss with account manager","2014-03-29",""
"Chennai","CHANDRASEKARAN.A","2014-03-20 00:00:00","ORCHID CHEMICALS","0","Visit","TOLUENE","Meet Mr.Prakash regarding order followup & given invoce also","2014-03-29",""
"Chennai","CHANDRASEKARAN.A","2014-03-20 00:00:00","NURAY CHEMICALS PVT LTD","0","Visit","TOLUENE","Meet Mr.Kannan Regarding payment followup collected cheque","2014-03-29",""
"Chennai","CHANDRASEKARAN.A","2014-03-20 00:00:00","SPRINGFEEL POLYURETHANE FOAMS PVT.LTD.,","0","Visit","TOLUENE DI ISOCYNATE (TDI)","Meet Mr.Krishnan regading payment followup & contract agrement","2014-03-29",""
"Chennai","CHANDRASEKARAN.A","2014-03-21 00:00:00","STANDARD COLOUR CO (P) LTD","0","Visit","CYCLOHEXANONE","Meet Mrs Anandhi Regarding order followup customer not accept our rate","2014-03-22",""
"Chennai","CHANDRASEKARAN.A","2014-03-21 00:00:00","FLAMAGAS INDIA PVT LTD.","0","Visit","CYCLOHEXANONE","Meet Mr.Prakash Regarding order followup customer have material now customer need April first week","2014-03-22",""
"Chennai","CHANDRASEKARAN.A","2014-03-21 00:00:00","SENDHUR SURFACE COATINGS","0","Visit","PHOSPHORIC ACID","Meet Mr.Senthil Regarding order followup customer need 45days creditdays","2014-03-22",""
"Chennai","CHANDRASEKARAN.A","2014-03-21 00:00:00","THIRU AROORAN SUGARS LTD","0","Visit","PHOSPHORIC ACID","Meet Mr.Prbhakaran Regarding payment followup customer said they will give on tuesday","2014-03-22",""
"Chennai","CHANDRASEKARAN.A","2014-03-21 00:00:00","UNIVERSAL PRINT SYSTEMS LTD","0","Visit","ISO PROPYL ALCOHOL","Meet Mr.Raviram regarding convert customer will give april first week","2014-03-22",""
"Chennai","CHANDRASEKARAN.A","2014-03-22 00:00:00","SRI POLYMER PRODUCTS","0","Visit","METHYL ETHYL KETONE (M.E.K)","Visit with Mr.Ranjith  collected EUC & order follow","2014-03-22",""
"Chennai","CHANDRASEKARAN.A","2014-03-24 00:00:00","EXCEL GLASS FIBRE INDUSTRIES (P) LTD","0","Visit","TOLUENE","Meet Mr.Sriram regarding payment followup customer will give next week","2014-03-24",""
"Chennai","CHANDRASEKARAN.A","2014-03-24 00:00:00","THIN CHEMIE FORMULATIONS.,","0","Visit","MIX XYLENE","Meet Mr.Jothi contact person went out of station customer will come tommoerow","2014-03-24",""
"Chennai","CHANDRASEKARAN.A","2014-03-24 00:00:00","KOINOOR ASIANA HOTEL","0","Visit","","Meet Mr.Bala Regarding payment followup customer said need discuss with account manager","2014-03-24",""
"Chennai","CHANDRASEKARAN.A","2014-03-24 00:00:00","NUTECH AUTO PRODUCTS","0","Visit","MIX XYLENE","Meet Mrs.Kalaiselvi regarding order followup customer will give april first week only","2014-03-24",""
"Chennai","CHANDRASEKARAN.A","2014-03-24 00:00:00","ADDUCO ENGINEERING SOLUTIONS PVT LTD","0","Visit","EXXSOL D40","Meet Mr.Loganathan regarding order & Payment followup customer want exxsol D80 Sample5kg also","2014-03-24",""
